Detected frames in file "D:/Captured Video\2021-09-22 13-09-45.mp4":
Frame 685 occurred 1 times.
Frame 686 occurred 1 times.
Frame 687 occurred 1 times.
Frame 688 occurred 1 times.
Frame 689 occurred 1 times.
Frame 690 occurred 1 times.
Frame 691 occurred 1 times.
Frame 692 occurred 1 times.
Frame 693 occurred 1 times.
Frame 694 occurred 1 times.
Frame 695 occurred 1 times.
Frame 696 occurred 1 times.
Frame 697 occurred 1 times.
Frame 698 occurred 1 times.
Frame 699 occurred 1 times.
Frame 700 occurred 1 times.
Frame 701 occurred 1 times.
Frame 702 occurred 1 times.
Frame 703 occurred 1 times.
Frame 704 occurred 1 times.
Frame 705 occurred 1 times.
Frame 706 occurred 1 times.
Frame 707 occurred 1 times.
Frame 708 occurred 1 times.
Frame 709 occurred 1 times.
Frame 710 occurred 1 times.
Frame 711 occurred 1 times.
Frame 712 occurred 1 times.
Frame 713 occurred 1 times.
Frame 714 occurred 1 times.
Frame 715 occurred 1 times.
Frame 716 occurred 1 times.
Frame 717 occurred 1 times.
Frame 718 occurred 1 times.
Frame 719 occurred 1 times.
Frame 720 occurred 1 times.
Frame 721 occurred 1 times.
Frame 722 occurred 1 times.
Frame 723 occurred 1 times.
Frame 724 occurred 1 times.
Frame 725 occurred 1 times.
Frame 726 occurred 1 times.
Frame 727 occurred 1 times.
Frame 728 occurred 1 times.
Frame 729 occurred 1 times.
Frame 730 occurred 1 times.
Frame 731 occurred 1 times.
Frame 732 occurred 1 times.
Frame 733 occurred 1 times.
Frame 734 occurred 1 times.
Frame 735 occurred 1 times.
Frame 736 occurred 1 times.
Frame 737 occurred 1 times.
Frame 738 occurred 1 times.
Frame 739 occurred 1 times.
Frame 740 occurred 1 times.
Frame 741 occurred 1 times.
Frame 742 occurred 1 times.
Frame 743 occurred 1 times.
Frame 744 occurred 1 times.
Frame 745 occurred 1 times.
Frame 746 occurred 1 times.
Frame 747 occurred 1 times.
Frame 748 occurred 1 times.
Frame 749 occurred 1 times.
Frame 750 occurred 1 times.
Frame 751 occurred 1 times.
Frame 752 occurred 1 times.
Frame 753 occurred 1 times.
Frame 754 occurred 1 times.
Frame 755 occurred 1 times.
Frame 756 occurred 1 times.
Frame 757 occurred 1 times.
Frame 758 occurred 1 times.
Frame 759 occurred 1 times.
Frame 760 occurred 1 times.
Frame 761 occurred 1 times.
Frame 762 occurred 1 times.
Frame 763 occurred 1 times.
Frame 764 occurred 1 times.
Frame 765 occurred 1 times.
Frame 766 occurred 1 times.
Frame 767 occurred 1 times.
Frame 768 occurred 1 times.
Frame 769 occurred 1 times.
Frame 770 occurred 1 times.
Frame 771 occurred 1 times.
Frame 772 occurred 1 times.
Frame 773 occurred 1 times.
Frame 774 occurred 1 times.
Frame 775 occurred 1 times.
Frame 776 occurred 1 times.
Frame 777 occurred 1 times.
Frame 778 occurred 1 times.
Frame 779 occurred 1 times.
Frame 780 occurred 1 times.
Frame 781 occurred 1 times.
Frame 782 occurred 1 times.
Frame 783 occurred 1 times.
Frame 784 occurred 1 times.
Frame 785 occurred 1 times.
Frame 786 occurred 1 times.
Frame 787 occurred 1 times.
